Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
2001.0,0,72.6,141.0,1.0,2.86,53.19,103.5,69.0,47.4,1.0,145.5,5.94,141.0,0.1,694.44,35655.0,2.1,2.1,0.64,11.1
2000.0,0,72.0,142.0,1.0,2.9,32.76,82.5,15.0,47.1,1.0,144.0,6.25,139.5,0.1,622.74,369588.0,2.1,2.2,0.64,11.2
2015.0,1,82.8,59.0,1.0,10.16,0.0,139.5,74.0,66.6,1.0,139.5,8.84,139.5,0.1,56554.39,23789338.0,0.6,0.6,0.94,20.4
2014.0,1,82.7,60.516422718677774,1.0,9.71,10769.36,136.5,340.0,66.1,1.0,138.0,9.42,138.0,0.1,62214.69,2346694.0,0.6,0.6,0.94,20.4
2013.0,1,82.5,61.0,1.0,9.87,11734.85,136.5,158.0,65.5,1.0,136.5,9.36,136.5,0.1,67792.34,23117353.0,0.6,0.6,0.93,20.3
2012.0,1,82.3,61.0,1.0,10.03,11715.0,136.5,199.0,65.0,1.0,138.0,9.36,138.0,0.1,67677.63,22728254.0,0.6,0.6,0.93,20.1
2011.0,1,82.0,63.0,1.0,10.3,10986.27,138.0,190.0,64.4,1.0,138.0,9.2,138.0,0.1,62245.13,223424.0,0.6,0.6,0.93,19.8
2010.0,1,81.9,64.0,1.0,10.52,8875.79,138.0,70.0,63.9,1.0,138.0,9.2,138.0,0.1,51874.85,223175.0,0.7,0.6,0.93,19.5
2009.0,1,81.7,66.0,1.0,10.62,7172.28,141.0,104.0,63.4,1.0,138.0,9.5,138.0,0.1,42743.0,216917.0,0.7,0.6,0.92,19.1
2008.0,1,81.3,66.0,1.0,10.76,8547.29,141.0,65.0,62.9,1.0,138.0,8.78,138.0,0.1,49664.69,212492.0,0.7,0.6,0.92,19.1
2007.0,1,81.3,66.0,1.0,10.56,872.6,141.0,11.0,62.5,2.0,138.0,8.53,138.0,0.1,4991.98,28276.0,0.7,0.6,0.92,19.0
2006.0,1,81.2,66.0,1.0,10.31,6187.06,142.5,0.0,62.0,2.0,138.0,8.49,138.0,0.1,36118.28,26979.0,0.7,0.6,0.92,20.3
2005.0,1,81.0,67.0,1.0,10.3,579.13,142.5,10.0,61.5,2.0,138.0,8.45,138.0,0.1,3416.71,23948.0,0.7,0.6,0.91,20.3
2004.0,1,86.0,69.0,1.0,9.84,588.57,142.5,70.0,6.9,1.0,138.0,8.57,138.0,0.1,3472.38,21274.0,0.7,0.6,0.91,20.7
2003.0,1,83.0,71.0,1.0,9.97,3829.55,142.5,91.0,6.3,1.0,138.0,8.32,139.5,0.1,23465.39,198954.0,0.7,0.7,0.9,20.6
2002.0,1,79.9,73.0,1.0,9.84,46.39,142.5,32.0,59.6,2.0,138.0,8.39,138.0,0.1,281.82,196514.0,0.7,0.7,0.9,20.1
2001.0,1,79.9,75.0,1.0,9.53,3064.3,141.0,141.0,59.0,2.0,136.5,8.18,138.0,0.1,19517.84,19413.0,0.7,0.7,0.9,20.5
2000.0,1,79.5,78.0,1.0,10.17,347.19,140.10000000000002,108.0,58.2,2.0,111.25931437775748,8.8,111.5172631136634,0.1,2169.92,19153.0,0.7,0.7,0.9,20.4
2015.0,1,81.5,65.0,0.0,12.24,0.0,139.5,309.0,57.6,0.0,139.5,4.72,139.5,0.1,43665.95,8633169.0,1.9,1.937663200300198,0.89,15.9
2014.0,1,81.4,66.0,0.0,12.32,8350.19,147.0,117.0,57.1,0.0,147.0,11.21,147.0,0.1,51322.64,8541575.0,1.8,2.0,0.89,15.9
2013.0,1,81.1,68.0,0.0,11.82,90.59,142.5,0.0,56.6,0.0,142.5,11.14,142.5,0.1,554.72,8479375.0,1.8,2.0,0.89,15.7
2012.0,1,88.0,7.0,0.0,12.26,7878.37,138.0,36.0,56.1,0.0,138.0,11.17,138.0,0.1,48333.57,8429991.0,1.8,2.0,0.88,15.7
2011.0,1,88.0,73.0,0.0,12.04,8272.31,133.5,68.0,55.7,0.0,133.5,1.94,133.5,0.1,51126.74,8391643.0,1.7,2.0,0.88,15.7
2010.0,1,84.0,75.0,0.0,12.1,7423.23,129.0,52.0,55.2,0.0,129.0,11.17,129.0,0.1,46657.63,836344.0,1.7,1.9,0.87,15.4
2009.0,1,82.0,77.0,0.0,11.3,8053.56,124.5,49.0,54.7,0.0,124.5,11.19,124.5,0.1,47654.19,8343323.0,1.7,1.9,0.87,15.3
2008.0,1,84.0,76.0,0.0,12.0,8329.73,124.5,448.0,54.2,0.0,124.5,1.6,124.5,0.1,51386.38,8321496.0,1.7,1.9,0.86,15.1
